,014d4b17-d683-438b-9287-33fcec82bf5a_01,01b18f83-da8a-4d3f-b722-f00fe7559c60_01,029cc59c-60df-4411-a044-3a2eeee7b110_01,15d19ccc-52b8-41f6-b1c1-2cc55691aed5_01,1a2ce30c-5891-4bf6-8c97-6d1f34d4fe48_01,1d00217f-28df-4d91-aeb9-0d9a83a907e6_01,1dbd7b0e-9234-47d9-bdca-5b17f5af619b_01,2112a42a-9b85-475a-a31b-4ce7751cdeb9_01,22e7816d-4be9-4f84-b487-baa6ca35452d_01,2bf47a88-df0a-4102-af2e-998c3d252b9c_01,31771082-c094-4749-a9c7-80b67762f4d1_01,339490ef-6cf5-4d05-81b1-5e339e95f678_01,367869f9-bbe7-4e57-a16f-f2b63f2de697_01,39af6e0f-908c-4b2b-97b8-a4d1966e47e1_01,39e494bc-7710-4f9f-98b0-0f509f7aef1a_01,3a161c85-2544-4283-a10d-e332c9dd1692_01,3eb7aded-8887-4c27-a464-1b50ec090133_01,411ddf79-fe92-44ad-8d10-eeb703f11be7_01,418152bd-7d33-4f0a-b890-2356b30d6f44_01,4464418c-ec35-4826-b3d5-152ac2a27a04_01,4480d290-5e8a-4289-8e3c-de087e0de412_01,4498044c-1607-403e-867e-befd7fad275a_01,4b9fd822-17aa-4a22-8e17-175a72931d5d_01,4e531546-56f1-4165-94a2-ee45abd5e0f7_01,5019e7f1-db46-4a07-9e7b-b6e5d1481b84_01,5383fb57-69c2-4b34-af7f-c67208efb2b5_01,56ed4ea2-18ce-48d4-bf72-9ffabe576ca9_01,5e54122f-1c4d-45cc-8842-cd1c1df0eed8_01,60d7b6cf-d605-4837-9061-612f6bbb7393_01,6103e640-8b62-4e39-908b-b62a0debeb0e_01,64422cc5-5e5b-4ef9-a9e2-214cebf8dfbc_01,64bd88bd-1d5a-4569-9f46-f668d448c336_01,6be5176c-4980-4663-adff-d04f05737da0_01,711eb720-4cb7-48de-9350-5c729bf9f0da_01,7289bc25-2551-4c6d-b2fa-c7e13859b9b3_01,73b3e4dd-c53d-4fe3-8607-ee462c9cbbd1_01,743fc661-9ba2-4fa8-966e-508fb4b965e0_01,78039723-94a9-4903-8bb4-c00852e8e889_01,7f1e74d4-8789-4954-8a63-b0ca5f0373c3_01,892e7630-b11e-47bd-987c-327d33258e11_01,8de236f1-c029-44df-a2a9-319145488baa_01,8e6d3005-445a-4b7f-95ec-a988a121c628_01,92fca97d-6123-46a7-9c34-7a6f877fe612_01,94f3d9b0-0ee4-4f6a-a8ff-ce7a4d8fab76_01,9752c320-79eb-49ea-aa1f-d7a79bead901_01,995fcbf5-90aa-4d4a-b57b-46a7129209e0_01,99d1bfcc-1989-4dd2-a5e9-78e08f6ce7cf_01,9b1ecfb2-9dfb-4e71-b51a-d2a0c5a7940e_01,9dc5cc23-c903-4fe2-8354-64f8316ff0d4_01,9e35ef82-55b0-460b-8ab9-8cd708efa3b1_01,9f57834a-4dc4-45ed-97de-ed4da9d0598d_01,a08e4c1d-5d92-43ec-b0b9-87b2286d685e_01,a18d3ba3-e2f4-4144-9c25-2019cad193f4_01,a6ff0b7a-1d04-4a64-af43-5011a4487cb2_01,a83802da-0219-4cf1-9560-16295363491d_01,a9f956a0-660f-4185-a843-d9911d2484de_01,a9fe64a9-6d22-4e9f-96f3-f16af7d298f8_01,af04ca52-8b71-497e-8135-6ddfca9ab221_01,b224e42d-8b6d-4578-963c-bf528b954900_01,b26cb5f2-4ff0-4476-8d02-7256ace7d8a3_01,b533e555-90cf-4657-80c6-15b67da8ad26_01,b5c516ba-4785-41dc-bd07-b129d47808dd_01,bbf07e1f-8c17-4c2e-89ed-38332d82e455_01,bcb87378-9f43-45e4-bdf2-f6dfa6ac5b8c_01,c510a423-6ab1-431e-9248-d2ac91fdedba_01,c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab_01,cba920f4-c57f-47bc-958d-9b7872df01c8_01,d8e15178-d8c5-4e4e-895c-57ffe5bc80c2_01,d9ccba9b-6bf0-44d9-8097-a97ab747f0bd_01,da6f0ed2-a6d5-4d87-823e-122ebd59aaba_01,df291bbf-fc62-4c40-9582-289ac78225fd_01,df685f8c-645a-47ae-a471-63bf1973a0ae_01,df941bc1-6356-4f2e-a3f5-ae190266b441_01,e00ce846-9a0e-48b5-be9f-84d443a0f78a_01,e21d8018-8fe9-4c92-8b36-28d7d3f7df2b_01,ebdabfcb-1c68-4ca1-8b7f-3ea9cdac3a6a_01,edbf6720-467e-4928-b1cb-0e7336358d18_01,eeab0529-31e6-4edb-bd2c-a21f2a169381_01,f78d8541-b317-4c8a-aa66-f172a8eaf14f_01,fa9089fa-9af9-4932-8ab7-0e7f2fd6b121_01
MIMAT0002810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126951,0.26381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064447,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002813,0.0,0.0,0.695609,0.276144,2.254557,1.272574,4.095235,0.0,0.587006,2.619847,0.520134,1.579201,8.190465,0.904833,0.0,8.857728,0.0,1.228369,0.64681,0.712785,0.961322,0.773664,2.263536,1.499472,4.04308,0.809829,0.0,0.0,1.161574,0.770576,0.684033,3.937165,0.660449,1.665914,3.092535,0.470486,4.315946,0.0,3.599,0.722065,1.640121,1.67842,2.98856,1.502557,4.972832,0.0,0.980282,0.262687,1.680893,0.758468,1.173016,5.947202,1.164741,1.23244,4.208971,4.206981,0.0,0.768928,0.42885,2.792094,2.822134,0.310159,1.379208,1.539579,1.366855,1.015608,1.582857,1.285278,1.362357,1.256135,1.089328,2.388312,1.184018,3.737948,1.423166,1.6518,0.900028,1.524327,0.40105,0.05654
MIMAT0002814,0.0,1.539716,2.550565,1.656862,3.100016,3.605626,6.240359,0.0,0.978344,3.572519,1.144294,5.132402,8.718883,1.266767,2.618691,16.98492,0.369254,2.456738,0.64681,2.494749,1.922645,1.93416,4.688753,2.399154,17.183092,0.607372,0.318045,0.851946,1.858519,0.770576,0.342017,2.165441,0.880599,5.711703,2.783283,0.188194,10.070539,0.993448,6.898082,0.962754,3.045938,1.398683,2.656497,2.003409,9.61414,0.485655,1.176337,0.131343,1.120595,2.022582,0.78201,6.981498,1.164741,0.492976,11.169959,2.243723,0.691821,1.345623,1.500975,3.436422,4.031621,0.310159,2.758417,2.15541,0.683427,1.269511,4.748572,1.836111,2.55442,1.570168,0.0,2.605431,2.368037,38.990672,5.692663,2.642882,1.440046,1.333786,2.005252,0.0
MIMAT0002816,0.0,0.0,0.0,0.0,0.14091,0.212096,0.390022,0.0,0.0,0.119084,0.104027,0.0,0.0,0.0,0.0,0.182634,0.0,0.409456,0.0,0.0,0.0,0.0,0.0,0.299894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440299,0.0,0.0,0.188194,0.28773,0.0,0.599833,0.0,0.234303,0.0,0.664124,0.250426,0.497283,0.0,0.0,0.0,0.0,0.0,0.0,0.258574,0.0,0.0,0.48565,0.0,0.0,0.0,0.0,0.0,0.403162,0.155079,0.0,0.0,0.0,0.0,0.0,0.0,0.170295,0.0,0.0,0.217119,0.0,0.064447,0.0,0.0,0.180006,0.0,0.0,0.0
MIMAT0002817,0.458565,0.384929,1.159349,0.0,0.845459,1.908862,2.925166,1.650179,0.0,3.57252,0.0,2.763601,2.377878,0.723867,2.291354,12.145133,0.184627,2.661466,0.64681,0.0,1.922644,1.93416,3.556986,0.299894,2.02154,0.404914,0.63609,0.0,0.232315,0.385288,0.342016,1.771725,1.100749,1.427926,0.618507,0.188194,3.452757,0.165575,3.898916,0.722065,0.234303,0.0,0.332062,1.25213,2.154893,0.242827,0.588168,0.131343,0.980521,0.252823,0.391005,2.068592,0.0,0.369732,4.208969,1.963258,0.691821,0.576696,1.072125,0.644329,0.403162,0.0,1.930891,0.0,0.911236,0.761706,2.638095,0.183611,0.851474,1.046779,0.0,1.302716,1.184019,8.700398,1.138533,0.66072,0.720023,0.381082,1.403676,0.0
MIMAT0002818,0.0,0.0,0.463739,0.0,0.0,0.0,0.975055,0.412545,0.195669,0.476336,0.104027,0.1974,0.528418,0.0,0.0,1.917653,0.184627,0.0,0.215603,0.0,0.320441,0.0,1.293449,0.0,2.02154,0.202457,0.318045,0.0,0.0,0.192644,0.0,0.0,0.0,0.237988,1.237015,0.376388,0.57546,0.0,0.0,0.481376,0.234303,0.0,0.332062,0.0,0.331522,0.0,0.392112,0.262687,0.280148,0.252823,0.0,0.646435,0.388247,0.123244,1.618834,1.682792,0.0,0.192232,0.42885,0.214776,1.209486,0.0,0.0,0.0,0.0,0.0,0.0,0.367222,0.0,0.104678,0.0,0.217119,0.0,1.288948,0.569266,0.0,0.0,0.190541,0.0,0.0
MIMAT0002819,33.475214,61.973562,36.867259,28.166642,89.477743,74.233506,134.94774,92.410006,91.57289,111.700762,18.10065,63.365451,78.734146,12.848629,106.384334,95.882619,79.205069,43.811843,43.983098,44.549066,90.364227,56.864294,31.204466,200.629299,83.22007,55.068397,67.743609,144.546712,55.290924,20.034958,67.719348,65.160084,33.242603,32.366318,74.839351,31.898926,44.310377,20.862396,22.493747,65.226531,177.367321,99.02677,111.240836,69.868881,29.836991,94.459844,69.011828,27.71345,67.375824,58.402044,57.47778,129.54557,69.496211,82.696717,70.581203,54.129824,24.90555,20.761047,88.557549,87.843567,138.687756,211.99353,126.611296,85.292652,46.24526,19.042661,51.970473,39.476399,8.855317,72.646432,20.697225,61.87901,85.249349,18.883085,96.775238,46.250429,76.682436,60.401456,10.627833,5.936718
MIMAT0002820,2.751388,13.857442,3.478043,3.313723,5.918212,2.757245,14.235816,4.950536,4.109041,18.338931,7.593952,7.501206,6.605214,6.695763,8.838084,7.39666,1.29239,3.685108,6.89931,1.425571,5.127049,5.028816,10.509275,16.194293,3.706157,12.552355,32.440602,10.791308,11.61574,4.430808,3.933194,9.05548,4.623143,9.281518,2.783282,11.197557,6.330054,5.960686,2.399333,7.942714,11.715147,5.594733,12.950425,4.006818,6.464682,3.885238,12.155492,9.719408,2.941563,6.57339,3.910054,11.765117,1.552988,10.845471,4.532737,13.462339,1.383642,4.421334,21.228081,13.74569,11.288538,10.235239,12.13703,3.387073,4.783992,2.792924,11.871428,1.6525,2.384123,7.32745,2.178655,4.776625,5.328084,0.451132,8.538992,1.651801,13.320424,3.429736,3.408928,4.014351
MIMAT0002821,41.270812,34.643606,34.780432,27.890499,25.645589,36.480467,11.895682,42.904645,8.805085,29.056488,20.077159,17.963414,22.986143,49.403878,8.838083,68.304954,141.424435,37.05581,31.693705,10.691777,7.049692,63.827269,59.498672,6.897568,35.376952,37.049693,26.397744,39.757446,84.330274,105.761457,49.934468,26.379007,42.92919,60.21087,27.21431,26.064904,19.85335,20.034523,55.184659,12.756481,20.618658,22.099194,41.839837,7.512784,17.404911,70.419935,9.214647,9.850753,63.033517,64.46979,18.37725,25.8574,13.976892,19.349306,52.45025,28.327007,56.037486,29.411483,37.73881,16.323009,18.545456,25.743179,13.79208,22.477846,30.298619,34.657644,24.270475,13.036391,12.601799,25.750752,17.973906,20.192098,18.9443,15.725163,20.351263,18.500171,48.78155,44.586563,20.052518,30.870932
MIMAT0002822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431206,0.0,0.0,0.0,0.161681,0.0,0.0,0.202457,0.0,0.0,0.0,0.192644,0.0,0.0,0.0,1.189938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,0.0
MIMAT0002823,0.0,0.0,0.23187,0.276144,0.0,0.212096,0.0,2.475268,0.0,0.0,0.0,0.0,0.0,0.180967,0.0,0.091317,0.0,0.0,2.156033,0.0,0.640882,0.0,1.131768,0.0,0.0,1.012286,1.90827,0.283982,0.46463,1.155863,0.0,0.0,0.22015,0.951952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296005,0.0,0.0,0.66072,0.0,0.0,2.406302,0.05654
MIMAT0002824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204728,0.215603,0.0,0.0,0.0,0.646724,0.0,0.0,0.0,0.0,0.0,0.0,0.192644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196056,0.131343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296005,0.0,0.0,0.33036,0.0,0.0,0.200525,0.0
MIMAT0002825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318045,0.0,0.0,0.0,0.0,0.0,0.660449,0.237988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646809,0.0,0.0,0.0,0.161681,0.0,0.0,0.0,0.63609,0.0,0.0,0.577932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.288657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40105,0.0
MIMAT0002827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.650179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215603,0.0,0.0,0.0,0.161681,0.0,0.0,0.404915,0.0,0.283982,0.0,0.0,0.0,0.0,0.0,0.237988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200525,0.0
MIMAT0002829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215603,0.0,0.0,0.0,0.0,0.0,0.0,0.202457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825089,0.0,0.0,0.0,0.0,0.264209,0.0,0.0,0.0,0.0,0.0,0.215603,0.0,0.0,0.0,0.161681,0.0,0.0,0.202457,0.318045,0.0,0.232315,0.385288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161681,0.0,0.0,0.202457,0.0,0.0,0.0,0.385288,0.0,0.0,0.0,0.475976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601575,0.0
MIMAT0002833,0.0,0.0,0.0,0.552287,0.0,0.0,0.0,1.650179,0.0,0.0,0.0,0.0,0.0,0.0,0.327336,0.091317,0.184627,0.0,0.862414,0.356393,0.0,0.0,0.161681,0.0,0.0,1.012286,0.318045,0.0,0.0,0.385288,0.0,0.0,0.0,0.475976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.372394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33036,0.0,0.0,1.804726,0.0
MIMAT0002834,0.0,0.0,0.23187,0.0,0.0,0.212096,0.0,5.363081,0.0,0.0,0.0,0.0,0.0,0.0,0.327336,0.091317,0.0,0.0,3.665258,0.0,0.0,0.0,1.616811,0.0,0.0,1.012287,2.226316,0.567964,0.0,2.311726,0.171008,0.0,0.0,2.617864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.352676,0.0,0.0,0.505645,0.0,0.0,0.0,0.123244,0.0,0.0,0.0,0.576696,0.214425,3.221646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089328,0.0,0.592009,0.0,0.142317,0.0,0.0,0.0,2.606827,0.0
MIMAT0002835,0.0,0.0,0.0,0.552287,0.0,0.424191,0.0,10.726161,0.0,0.0,0.208053,0.0,0.0,0.0,1.309346,0.182634,0.0,0.0,9.486551,0.0,1.602204,0.386832,3.233623,0.0,0.0,3.03686,4.452631,0.851945,0.929259,3.660232,0.0,0.0,1.100748,5.473716,0.0,0.0,0.0,0.331149,0.0,0.0,0.0,0.0,0.0,0.250426,0.0,0.242827,3.332957,0.0,0.280149,0.758468,0.0,0.0,0.0,0.0,0.0,0.0,0.691821,0.0,0.0,9.020611,0.0,0.0,0.0,0.0,0.227809,0.0,0.0,0.183611,0.0,0.0,0.0,0.0,2.664042,0.0,0.142317,0.0,0.0,0.381082,9.825734,0.0
MIMAT0002837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323362,0.0,0.0,0.202457,0.318045,0.0,0.0,0.192644,0.0,0.0,0.0,0.237988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002838,0.0,0.0,0.23187,0.0,0.0,0.0,0.0,2.887813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018447,0.0,0.0,0.0,1.616812,0.0,0.0,1.417202,0.954135,0.0,0.232315,1.155863,0.0,0.0,0.0,2.379877,0.0,0.094097,0.0,0.0,0.0,0.0,0.0,0.0,0.332062,0.0,0.0,0.0,2.352675,0.0,0.420223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192232,0.0,3.436422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064447,0.0,0.0,0.0,0.0,3.609452,0.0
MIMAT0002839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724826,0.0,0.0,0.0,0.0,0.0,0.0,0.607372,0.954135,0.0,0.0,0.770576,0.0,0.0,0.0,0.237988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.503434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,0.0
MIMAT0002840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.078016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200525,0.0
MIMAT0002841,0.917129,0.0,0.0,0.276144,0.0,0.0,0.0,1.237634,0.0,0.0,0.104027,0.0,0.0,0.0,0.327336,0.0,0.0,0.0,0.862413,0.0,0.0,0.0,0.485044,0.0,0.0,0.202457,0.318045,0.0,0.232315,0.385288,0.0,0.0,0.22015,0.237988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859106,0.0,0.0,0.0,0.0,0.227809,0.0,0.26381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601576,0.05654
MIMAT0002842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.300358,0.0,0.0,0.0,0.0,0.0,0.180967,0.0,0.0,0.0,0.0,1.509224,0.0,0.0,0.0,0.485043,0.0,0.0,0.607372,0.0,0.0,0.0,0.192644,0.0,0.0,0.0,0.475976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40105,0.05654
MIMAT0002843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0002844,0.458565,0.0,0.23187,0.0,0.0,0.0,0.0,5.363081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182634,0.0,0.0,4.743275,0.0,1.281762,0.0,1.778493,0.0,0.0,2.22703,4.134586,0.0,0.0,3.082301,0.171008,0.0,0.0,2.141889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296005,0.0,0.0,0.0,0.0,0.0,3.007877,0.0
MIMAT0002846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
